,,,,,,,,,,,,,,,,,,,,,,,,
CHGCC(A),CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency
0.15,0x0,4.203194,0.148962,5,0.1375,91.07%,,0x0,4.202845,0.049209,8.999933,0.0329,69.85%,,,,,,0x0,4.201822,0.048736,15.00017,0.018867,72.36%
0.15,0x1,4.203253,0.149165,5,0.1375,91.20%,,0x1,4.202808,0.048952,9.000267,0.033333,68.58%,,,,,,0x1,4.20191,0.049116,14.99993,0.018767,73.32%
0.15,0x2,4.203196,0.149,5,0.1373,91.23%,,0x2,4.202806,0.048542,9,0.033167,68.35%,,,,,,0x2,4.201885,0.048928,14.99983,0.018633,73.56%
0.15,0x3,4.203399,0.149886,5,0.1387,90.85%,,0x3,4.202767,0.048625,9.000267,0.0326,69.65%,,,,,,0x3,4.201903,0.049028,14.9999,0.018667,73.58%
0.2,0x4,4.202529,0.200461,5,0.180233,93.48%,,0x4,4.203992,0.071647,8.999867,0.0473,70.76%,,,,,,0x4,4.20344,0.070236,14.99977,0.026333,74.74%
0.25,0x5,4.203438,0.249846,5,0.2239,93.81%,,0x5,4.204568,0.097636,9.000067,0.0622,73.33%,,,,,,0x5,4.204824,0.094587,15,0.0346,76.63%
0.3,0x6,4.202387,0.299978,5,0.2668,94.50%,,0x6,4.204168,0.305645,8.999933,0.171467,83.27%,,,,,,0x6,4.204634,0.121537,14.9999,0.043667,78.02%
0.35,0x7,4.202764,0.350513,5,0.310567,94.87%,,0x7,4.203507,0.356203,9,0.194933,85.35%,,,,,,0x7,4.201969,0.358337,14.9999,0.1333,75.31%
0.4,0x8,4.202847,0.401353,5,0.353867,95.34%,,0x8,4.203251,0.405702,8.999933,0.218233,86.82%,,,,,,0x8,4.20211,0.407586,14.9999,0.148067,77.12%
0.45,0x9,4.203191,0.451765,5,0.397733,95.48%,,0x9,4.202517,0.45606,9,0.2421,87.96%,,,,,,0x9,4.202602,0.458993,14.9999,0.162133,79.32%
