,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency
,0x0,4.202708,0.153819,6.8,0.114933,82.72%,,,,,,,0x0,4.20246,0.049263,9.000233,0.0333,69.08%,,,,,,0x0,4.202524,0.049423,14.9997,0.019067,72.62%
,0x1,4.202694,0.153601,6.8,0.1148,82.69%,,,,,,,0x1,4.202256,0.048545,8.9997,0.032867,68.97%,,,,,,0x1,4.202497,0.049276,14.99983,0.018967,72.79%
,0x2,4.202398,0.153096,6.8,0.114333,82.75%,,,,,,,0x2,4.20221,0.048482,9.000067,0.032833,68.95%,,,,,,0x2,4.202458,0.049402,14.9997,0.018767,73.75%
,0x3,4.202515,0.153772,6.8,0.114467,83.02%,,,,,,,0x3,4.202207,0.048482,9.0001,0.032933,68.74%,,,,,,0x3,4.202588,0.04971,14.9999,0.018933,73.56%
,0x4,4.203029,0.203016,6.8,0.1457,86.12%,,,,,,,0x4,4.204346,0.070883,8.999833,0.045767,72.35%,,,,,,0x4,4.203131,0.071176,15.0002,0.0266,74.98%
,0x5,4.203198,0.252983,6.8,0.1774,88.15%,,,,,,,0x5,4.203847,0.095793,9,0.060467,74.00%,,,,,,0x5,4.204663,0.095395,14.99987,0.035,76.40%
,0x6,4.20268,0.302428,6.8,0.208233,89.76%,,,,,,,0x6,4.204716,0.305325,9,0.171133,83.35%,,,,,,0x6,4.20426,0.122561,15.00003,0.0441,77.90%
,0x7,4.202791,0.352103,6.8,0.2389,91.09%,,,,,,,0x7,4.203327,0.356014,8.9999,0.195333,85.12%,,,,,,0x7,4.204857,0.357938,14.9999,0.133933,74.92%
,0x8,4.195473,0.329044,6.799967,0.222533,91.23%,,,,,,,0x8,4.203181,0.406945,8.999933,0.218933,86.81%,,,,,,0x8,4.203664,0.408728,14.9999,0.148433,77.17%
,0x9,4.201777,0.452652,6.8,0.302533,92.45%,,,,,,,0x9,4.202582,0.457319,9,0.242433,88.09%,,,,,,0x9,4.203158,0.458709,14.9999,0.162367,79.16%
,0xa,4.202441,0.4612,6.799967,0.2969,96.00%,,,,,,,0xa,4.202967,0.506464,8.999933,0.266367,88.79%,,,,,,0xa,4.203112,0.51003,14.9999,0.177,80.74%
