vbat,ibat,vchgin,ichgin,efficiency,,,,,,,,vbat,ibat,vchgin,ichgin,efficiency,,,,,,,vbat,ibat,vchgin,ichgin,efficiency
2.702317033,0.123594,6.8,0.066,74.42%,,,,,,,,2.7021132,0.123584,9,0.0503,73.77%,,,,,,,2.7049825,0.123605,14.9999,0.0314,70.99%
2.753243867,0.12346,6.8,0.066,75.74%,,,,,,,,2.753035433,0.123561,9,0.0503,75.14%,,,,,,,2.7530656,0.123534,14.9999,0.0314,72.21%
2.802361933,0.123427,6.8,0.066,77.07%,,,,,,,,2.803051233,0.123444,9,0.0503,76.44%,,,,,,,2.802118767,0.123464,14.9999,0.0314,73.45%
2.8523147,0.123414,6.8,0.065967,78.47%,,,,,,,,2.852057333,0.123411,9,0.0503,77.75%,,,,,,,2.8520728,0.123434,14.9999,0.0314,74.74%
2.902323367,0.123345,6.8,0.066,79.77%,,,,,,,,2.9020777,0.123378,9,0.0503,79.09%,,,,,,,2.902171,0.12337,14.9999,0.0314,76.02%
2.952506933,0.123315,6.8,0.067033,79.87%,,,,,,,,2.953009967,0.123367,9,0.0511,79.21%,,,,,,,2.953097433,0.123352,14.9999,0.0319,76.13%
3.002476233,0.123302,6.8,0.068,80.06%,,,,,,,,3.0029864,0.123346,9,0.0518,79.45%,,,,,,,3.0021377,0.123284,14.9999,0.0323,76.39%
3.052420767,0.123312,6.8,0.069,80.22%,,,,,,,,3.052983633,0.123296,9,0.0526,79.51%,,,,,,,3.053053567,0.123275,14.9999,0.0328,76.50%
3.102412233,0.123227,6.8,0.07,80.32%,,,,,,,,3.102995667,0.123246,9,0.0533,79.72%,,,,,,,3.1021218,0.12325,14.9999,0.0332,76.78%
3.1524119,0.123191,6.8,0.071,80.44%,,,,,,,,3.152989033,0.123245,9,0.054,79.96%,,,,,,,3.153086533,0.123238,14.9999,0.0337,76.87%
3.202374533,0.123207,6.8,0.072,80.59%,,,,,,,,3.202002433,0.123181,9,0.054767,80.02%,,,,,,,3.203054167,0.123216,14.9999,0.0341,77.16%
3.252389833,0.123175,6.8,0.073033,80.67%,,,,,,,,3.252949833,0.123169,9,0.0555,80.21%,,,,,,,3.253052333,0.123164,14.9999,0.0346,77.20%
3.3023964,0.123145,6.8,0.0741,80.71%,,,,,,,,3.302963067,0.123096,9,0.0562,80.38%,,,,,,,3.303050967,0.123124,14.9999,0.035,77.47%
3.359004267,2.538624,6.799933,1.358967,92.28%,,,,,,,,3.353791133,0.504894,9,0.2152,87.43%,,,,,,,3.353719167,0.506804,14.9999,0.1402,80.82%
3.400887733,2.542877,6.7999,1.3764,92.40%,,,,,,,,3.4038315,0.505114,9,0.2183,87.51%,,,,,,,3.402832933,0.506803,14.9999,0.142333,80.78%
3.4423605,2.529243,6.7999,1.372767,93.27%,,,,,,,,3.4529027,0.505287,8.99997,0.221133,87.67%,,,,,,,3.4529077,0.506892,14.9999,0.144467,80.77%
3.510103167,2.540149,6.7999,1.4156,92.63%,,,,,,,,3.502961333,0.50537,8.99997,0.224,87.81%,,,,,,,3.502994833,0.507275,14.9999,0.146767,80.72%
3.554498367,2.517771,6.7999,1.413867,93.09%,,,,,,,,3.5530403,0.50543,9,0.227267,87.80%,,,,,,,3.5530625,0.507469,14.9999,0.1486,80.89%
3.602587433,2.483825,6.799933,1.430333,92.00%,,,,,,,,3.6030474,0.505753,9,0.2303,87.92%,,,,,,,3.603039433,0.50755,14.9999,0.1509,80.79%
3.6464072,2.46678,6.7999,1.425867,92.77%,,,,,,,,3.6530079,0.505665,9,0.233167,88.03%,,,,,,,3.654076767,0.507864,14.9999,0.153167,80.77%
3.703109333,2.482095,6.7999,1.454833,92.91%,,,,,,,,3.703050733,0.505565,9,0.2363,88.03%,,,,,,,3.703132367,0.507957,14.9999,0.1551,80.85%
3.7526141,2.478687,6.7999,1.469467,93.09%,,,,,,,,3.753141433,0.505612,9,0.238867,88.27%,,,,,,,3.753276633,0.508308,14.9999,0.157433,80.79%
3.803743733,2.472976,6.7999,1.490433,92.81%,,,,,,,,3.8030084,0.505856,9,0.242067,88.30%,,,,,,,3.8031708,0.508309,14.9999,0.159533,80.79%
3.8525228,2.476241,6.7999,1.519,92.36%,,,,,,,,3.853106633,0.505881,9,0.245367,88.27%,,,,,,,3.853321333,0.508568,14.9999,0.1616,80.85%
3.902330633,2.473398,6.7999,1.5394,92.21%,,,,,,,,3.903252233,0.505958,9,0.2481,88.45%,,,,,,,3.903343033,0.508548,14.9999,0.163767,80.81%
3.9537982,2.479094,6.799933,1.557733,92.54%,,,,,,,,3.953112733,0.505977,8.99993,0.251333,88.43%,,,,,,,3.9533839,0.508748,14.9999,0.166,80.78%
4.0030811,2.482206,6.799867,1.573767,92.85%,,,,,,,,4.0031828,0.506119,9,0.2541,88.60%,,,,,,,4.0035201,0.508978,14.9999,0.168033,80.85%
4.051824167,2.489113,6.7999,1.594967,92.99%,,,,,,,,4.053036167,0.506241,9,0.256967,88.72%,,,,,,,4.053406967,0.509116,14.9999,0.1702,80.83%
4.103741933,2.494711,6.799933,1.618133,93.04%,,,,,,,,4.103170267,0.506091,8.99997,0.259767,88.82%,,,,,,,4.103375733,0.50924,14.9999,0.172367,80.82%
4.155601633,2.506189,6.7999,1.655433,92.52%,,,,,,,,4.153102333,0.506134,8.99993,0.2626,88.94%,,,,,,,4.153467667,0.509457,14.9999,0.174367,80.90%
4.199179433,2.530036,6.7999,1.6889,92.51%,,,,,,,,4.203241233,0.505989,8.99997,0.265767,88.92%,,,,,,,4.203503233,0.509195,14.9999,0.176467,80.86%
4.256965367,2.559048,6.7999,1.709833,93.70%,,,,,,,,4.2534407,0.50627,9,0.269033,88.94%,,,,,,,4.253516433,0.509471,14.9999,0.1786,80.89%
4.304647867,2.558232,6.7999,1.741733,92.98%,,,,,,,,4.303492367,0.506067,9,0.271467,89.14%,,,,,,,4.303555133,0.509715,14.9999,0.1806,80.98%
4.354614667,2.558242,6.7999,1.7613,93.02%,,,,,,,,4.353472933,0.506325,9,0.274533,89.21%,,,,,,,4.353693533,0.509784,14.9999,0.182667,81.00%
4.4045353,2.558198,6.7999,1.779733,93.11%,,,,,,,,4.403475333,0.50604,8.99997,0.277733,89.15%,,,,,,,4.403694633,0.510134,14.9999,0.184667,81.10%
4.4535797,2.557911,6.7999,1.7978,93.19%,,,,,,,,4.4545515,0.506092,8.99993,0.280233,89.39%,,,,,,,4.453747133,0.509963,14.9999,0.187,80.97%
4.507303033,1.194645,6.7999,0.866567,91.38%,,,,,,,,4.5036231,0.50655,8.9999,0.283,89.57%,,,,,,,4.502814533,0.510238,14.9999,0.188833,81.11%
4.524182667,0.084718,5,0.086467,89%,,,,,,,,4.5251532,0.087981,9,0.0727,61%,,,,,,,4.5255286,0.089335,14.9999,0.0618,44%
