,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vbat,ibat,vchgin,ichgin,efficiency,,,,,,,,vbat,ibat,vchgin,ichgin,efficiency,,,,,,,vbat,ibat,vchgin,ichgin,efficiency
,2.702317033,0.123594,6.8,0.066,74.42%,,,,,,,,2.702593633,0.123548,9,0.0503,73.76%,,,,,,,2.7017106,0.12353,14.9999,0.0314,70.86%
,2.753243867,0.12346,6.8,0.066,75.74%,,,,,,,,2.752577567,0.123463,9,0.0503,75.07%,,,,,,,2.752653733,0.123489,14.9999,0.0314,72.17%
,2.802361933,0.123427,6.8,0.066,77.07%,,,,,,,,2.802605933,0.123424,9,0.0503,76.41%,,,,,,,2.801695667,0.123454,14.9999,0.0314,73.44%
,2.8523147,0.123414,6.8,0.065967,78.48%,,,,,,,,2.852575,0.123431,8.999967,0.0503,77.78%,,,,,,,2.852626067,0.123386,14.9999,0.0314,74.73%
,2.902323367,0.123345,6.8,0.066,79.77%,,,,,,,,2.902569467,0.123381,9,0.050367,79.00%,,,,,,,2.902624267,0.123348,14.9999,0.0314,76.02%
,2.952506933,0.123315,6.8,0.067033,79.87%,,,,,,,,2.952565533,0.123346,9,0.0511,79.19%,,,,,,,2.952619933,0.123332,14.9999,0.0318,76.34%
,3.002476233,0.123302,6.8,0.068,80.06%,,,,,,,,3.002553233,0.123297,9,0.0518,79.41%,,,,,,,3.002616067,0.123282,14.9999,0.0323,76.40%
,3.052420767,0.123312,6.8,0.069,80.22%,,,,,,,,3.052533767,0.123272,8.999967,0.0526,79.49%,,,,,,,3.052608667,0.123277,14.9999,0.0327,76.72%
,3.102412233,0.123227,6.8,0.07,80.32%,,,,,,,,3.102525667,0.123233,9,0.0533,79.70%,,,,,,,3.1026094,0.123241,14.9999,0.0332,76.78%
,3.1524119,0.123191,6.8,0.071,80.44%,,,,,,,,3.152539533,0.123205,9,0.054,79.92%,,,,,,,3.152595233,0.123206,14.9999,0.033667,76.92%
,3.202374533,0.123207,6.8,0.072,80.59%,,,,,,,,3.203460933,0.123198,9,0.0548,80.02%,,,,,,,3.2025683,0.123189,14.9999,0.0341,77.13%
,3.252389833,0.123175,6.8,0.073033,80.67%,,,,,,,,3.252526267,0.123171,9,0.0555,80.20%,,,,,,,3.252555133,0.123153,14.9999,0.034567,77.26%
,3.3023964,0.123145,6.8,0.0741,80.71%,,,,,,,,3.3025023,0.123122,9,0.0562,80.39%,,,,,,,3.302577633,0.12312,14.9999,0.035,77.45%
,3.359004267,2.538624,6.799933,1.358967,92.28%,,,,,,,,3.351893667,2.508134,8.9999,1.021167,91.48%,,,,,,,3.352488767,2.564228,14.9999,0.644467,88.93%
,3.400887733,2.542877,6.7999,1.3764,92.40%,,,,,,,,3.4030966,2.509262,8.9999,1.0439,90.89%,,,,,,,3.4068439,2.507967,14.9999,0.657,86.70%
,3.4423605,2.529243,6.7999,1.372767,93.27%,,,,,,,,3.451915867,2.510608,8.9999,1.049867,91.72%,,,,,,,3.452969633,2.485365,14.9999,0.643833,88.86%
,3.510103167,2.540149,6.7999,1.4156,92.63%,,,,,,,,3.5055548,2.507557,8.9999,1.076567,90.73%,,,,,,,3.504387233,2.497362,14.9999,0.652467,89.42%
,3.554498367,2.517771,6.7999,1.413867,93.09%,,,,,,,,3.555199367,2.511998,8.9999,1.082,91.71%,,,,,,,3.5519832,2.533355,14.9999,0.6667,89.98%
,3.602587433,2.483825,6.799933,1.430333,92.00%,,,,,,,,3.6043025,2.505221,8.999933,1.092367,91.85%,,,,,,,3.601063633,2.56363,14.9999,0.689833,89.22%
,3.6464072,2.46678,6.7999,1.425867,92.77%,,,,,,,,3.6536503,2.505418,8.9999,1.105933,91.97%,,,,,,,3.654020267,2.563324,14.9999,0.6985,89.40%
,3.703109333,2.482095,6.7999,1.454833,92.91%,,,,,,,,3.703869333,2.499487,8.9999,1.127967,91.20%,,,,,,,3.7040485,2.563609,14.9999,0.707733,89.45%
,3.7526141,2.478687,6.7999,1.469467,93.09%,,,,,,,,3.752961867,2.498133,8.9999,1.132433,91.99%,,,,,,,3.751937833,2.563703,14.9999,0.7163,89.52%
,3.803743733,2.472976,6.7999,1.490433,92.82%,,,,,,,,3.800894133,2.498535,8.9999,1.146433,92.04%,,,,,,,3.804137133,2.563766,14.9999,0.725567,89.61%
,3.8525228,2.476241,6.7999,1.519,92.36%,,,,,,,,3.8541391,2.49523,8.9999,1.158633,92.23%,,,,,,,3.854216067,2.564024,14.9999,0.734667,89.68%
,3.902330633,2.473398,6.7999,1.5394,92.21%,,,,,,,,3.902886033,2.490528,8.9999,1.179033,91.60%,,,,,,,3.902027667,2.563966,14.9999,0.7435,89.71%
